Publisher,Size,Type,Type
www.pagepress.org,1,application/xml,SAVED
iassistquarterly.com,1,application/pdf,application/pdf
api.elsevier.com,1553,text/xml,text/xml
gatesopenresearch.org,2,application/xml,SAVED
ieeexplore.ieee.org,1,application/pdf,application/pdf
openjournals.wu-wien.ac.at,1,text/plain,text/plain
mycokeys.pensoft.net,1,application/xml,SAVED
rep.bioscientifica.com,3,text/html,text/html
d-nb.info,2,application/pdf,application/pdf
api.wiley.com,236,application/pdf,application/pdf
www.jgld.ro,2,application/pdf,application/pdf
www.liebertpub.com,24,application/xml,BLOCKED
www.nrcresearchpress.com,7,application/xml,BLOCKED
www.degruyter.com,8,text/html,text/html
content.sciendo.com,4,text/html,text/html
iopscience.iop.org,3,text/html,text/html
file.scirp.org,3,application/xml,SAVED
f1000research.com,55,application/xml,SAVED
www.bioone.org,3,application/xml,application/xml
www.karger.com,11,application/pdf,application/pdf
revistas.unal.edu.co,1,application/pdf,application/pdf
cdn.elifesciences.org,53,application/xml,SAVED
www.ijdc.net,2,application/pdf,application/pdf
www.pfmjournal.org,1,application/pdf,application/pdf
journals.sagepub.com,45,application/pdf,application/pdf
stacks.iop.org,5,text/html,text/html
link.springer.com,1110,text/html,text/html
tandfonline.com,8,application/pdf,application/pdf
genominfo.org,2,application/pdf,application/pdf
jme.bioscientifica.com,2,text/html,text/html
rupress.org,1,application/pdf,application/pdf
peerj.com,70,application/xml,SAVED
online.liebertpub.com,1,application/xml,BLOCKED
www.theoj.org,3,application/pdf,application/pdf
compcytogen.pensoft.net,1,application/xml,SAVED
www.tandfonline.com,8,application/pdf,application/pdf
ijdc.net,1,application/pdf,application/pdf
bdj.pensoft.net,1,application/xml,SAVED
brill.com,2,text/html,text/html
royalsocietypublishing.org,21,application/xml,BLOCKED
wellcomeopenresearch.org,2,application/xml,SAVED
openmicrobiologyjournal.com,2,application/xml,SAVED
joe.bioscientifica.com,1,text/html,text/html
journals.ashs.org,1,text/html,text/html
www.nature.com,748,text/html,text/html
open.lnu.se,1,application/pdf,application/pdf
onlinelibrary.wiley.com,308,application/xml,application/xml
www.dovepress.com,4,application/pdf,application/pdf
protocolexchange.researchsquare.com,1,text/html,text/html
www.researchsquare.com,29,text/html,text/html
www.scirp.org,2,application/pdf,application/pdf
www.iimmun.ru,1,application/pdf,application/pdf
downloads.hindawi.com,38,application/xml,SAVED
ajas.info,1,application/pdf,application/pdf